"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7261","Login","chromium","2026-01-28","failed","2026-01-28","","login.spec.ts","",""
"","30084","get started","firefox","2026-01-28","broken","2026-01-28","","signUp.spec.ts","",""
"","30123","get started","chromium","2026-01-28","broken","2026-01-28","","signUp.spec.ts","",""
"","2379","has title","firefox","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","1904","has title","chromium","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","3165","has title","webkit","2026-01-28","passed","2026-01-28","","signUp.spec.ts","",""
"","8291","Login","webkit","2026-01-28","failed","2026-01-28","","login.spec.ts","",""
"","30324","get started","webkit","2026-01-28","broken","2026-01-28","","signUp.spec.ts","",""
"","7689","Login","firefox","2026-01-28","failed","2026-01-28","","login.spec.ts","",""
